GuessWord,Max,Median,Average
taros,1639,405.0,369.5658747300216
tarps,1458,491.0,450.68552915766736
tarre,990,332.0,312.1727861771058
tarry,1018,446.0,381.7771058315335
tarsi,1626,403.0,363.8829373650108
tarts,1637,430.0,469.8501079913607
tarty,1414,446.0,426.9771058315335
tasar,1142,430.0,407.91360691144706
tased,1330,358.0,352.6652267818574
taser,1543,313.0,324.6272138228942
tases,1145,347.0,409.6781857451404
tasks,1623,667.0,640.9088552915766
tassa,1300,732.0,565.631101511879
tasse,1108,347.0,358.4069114470842
tasso,1305,445.0,484.2319654427646
tatar,1205,613.0,479.1693304535637
tater,1183,332.0,382.22332613390927
tates,1548,347.0,412.69330453563714
taths,1493,627.0,627.2665226781858
tatie,1052,294.0,323.119222462203
tatou,1355,620.0,491.6267818574514
tatts,1404,732.0,682.3503239740821
